trace_id,f4,f5
TRACE_PERSON_0000000379,PERSON_0000000245,PERSON_0000000331
TRACE_PERSON_0000000958,PERSON_0000000181,PERSON_0000000508
TRACE_PERSON_0000000576,PERSON_0000000604,PERSON_0000000238
TRACE_PERSON_0000000095,PERSON_0000000419,PERSON_0000000195
TRACE_PERSON_0000000892,PERSON_0000000931,PERSON_0000000593
TRACE_PERSON_0000000215,PERSON_0000000445,PERSON_0000000745
TRACE_PERSON_0000000583,PERSON_0000000606,PERSON_0000000417
TRACE_PERSON_0000000808,PERSON_0000000961,PERSON_0000000978
TRACE_PERSON_0000000095,PERSON_0000000684,PERSON_0000000486
TRACE_PERSON_0000000297,PERSON_0000000823,PERSON_0000000695
TRACE_PERSON_0000000552,PERSON_0000000223,PERSON_0000000689
TRACE_PERSON_0000000851,PERSON_0000000809,PERSON_0000000180
TRACE_PERSON_0000000175,PERSON_0000000124,PERSON_0000000155
TRACE_PERSON_0000000003,PERSON_0000000758,PERSON_0000000138
TRACE_PERSON_0000000616,PERSON_0000000814,PERSON_0000000650
TRACE_PERSON_0000000567,PERSON_0000000969,PERSON_0000000643
TRACE_PERSON_0000000694,PERSON_0000000800,PERSON_0000000114
TRACE_PERSON_0000000536,PERSON_0000000623,PERSON_0000000493
TRACE_PERSON_0000000187,PERSON_0000000319,PERSON_0000000778
TRACE_PERSON_0000000652,PERSON_0000000119,PERSON_0000000943
TRACE_PERSON_0000000958,PERSON_0000000758,PERSON_0000000115
TRACE_PERSON_0000000851,PERSON_0000000570,PERSON_0000000454
TRACE_PERSON_0000000552,PERSON_0000000974,PERSON_0000000999
TRACE_PERSON_0000000297,PERSON_0000000418,PERSON_0000000911
TRACE_PERSON_0000000958,PERSON_0000000859,PERSON_0000000210
TRACE_PERSON_0000000110,PERSON_0000000959,PERSON_0000000587
TRACE_PERSON_0000000958,PERSON_0000000392,PERSON_0000000467
TRACE_PERSON_0000000557,PERSON_0000000178,PERSON_0000000656
TRACE_PERSON_0000000182,PERSON_0000000650,PERSON_0000000034
TRACE_PERSON_0000000315,PERSON_0000000934,PERSON_0000000706
TRACE_PERSON_0000000282,PERSON_0000000047,PERSON_0000000871
TRACE_PERSON_0000000616,PERSON_0000000670,PERSON_0000000339
TRACE_PERSON_0000000892,PERSON_0000000153,PERSON_0000000902
TRACE_PERSON_0000000536,PERSON_0000000748,PERSON_0000000442
TRACE_PERSON_0000000958,PERSON_0000000640,PERSON_0000000067
TRACE_PERSON_0000000820,PERSON_0000000049,PERSON_0000000406
TRACE_PERSON_0000000868,PERSON_0000000994,PERSON_0000000458
TRACE_PERSON_0000000182,PERSON_0000000198,PERSON_0000000702
TRACE_PERSON_0000000958,PERSON_0000000489,PERSON_0000000601
TRACE_PERSON_0000000144,PERSON_0000000424,PERSON_0000000395
TRACE_PERSON_0000000851,PERSON_0000000118,PERSON_0000000478
TRACE_PERSON_0000000147,PERSON_0000000541,PERSON_0000000096
TRACE_PERSON_0000000379,PERSON_0000000640,PERSON_0000000067
TRACE_PERSON_0000000952,PERSON_0000000609,PERSON_0000000158
TRACE_PERSON_0000000557,PERSON_0000000171,PERSON_0000000446
TRACE_PERSON_0000000182,PERSON_0000000166,PERSON_0000000980
TRACE_PERSON_0000000379,PERSON_0000000067,PERSON_0000000209
TRACE_PERSON_0000000310,PERSON_0000000095,PERSON_0000000435
TRACE_PERSON_0000000793,PERSON_0000000497,PERSON_0000000668
TRACE_PERSON_0000000495,PERSON_0000000734,PERSON_0000000357
TRACE_PERSON_0000000130,PERSON_0000000571,PERSON_0000000791
TRACE_PERSON_0000000084,PERSON_0000000600,PERSON_0000000595
TRACE_PERSON_0000000958,PERSON_0000000852,PERSON_0000000048
TRACE_PERSON_0000000310,PERSON_0000000263,PERSON_0000000972
TRACE_PERSON_0000000808,PERSON_0000000961,PERSON_0000000344
TRACE_PERSON_0000000110,PERSON_0000000832,PERSON_0000000942
TRACE_PERSON_0000000109,PERSON_0000000742,PERSON_0000000603
TRACE_PERSON_0000000005,PERSON_0000000582,PERSON_0000000195
TRACE_PERSON_0000000495,PERSON_0000000734,PERSON_0000000261
TRACE_PERSON_0000000110,PERSON_0000000959,PERSON_0000000856
TRACE_PERSON_0000000897,PERSON_0000000876,PERSON_0000000229
TRACE_PERSON_0000000586,PERSON_0000000236,PERSON_0000000493
TRACE_PERSON_0000000095,PERSON_0000000495,PERSON_0000000466
TRACE_PERSON_0000000297,PERSON_0000000823,PERSON_0000000608
TRACE_PERSON_0000000182,PERSON_0000000650,PERSON_0000000109
TRACE_PERSON_0000000809,PERSON_0000000180,PERSON_0000000874
TRACE_PERSON_0000000694,PERSON_0000000229,PERSON_0000000514
TRACE_PERSON_0000000215,PERSON_0000000445,PERSON_0000000485
TRACE_PERSON_0000000003,PERSON_0000000758,PERSON_0000000115
TRACE_PERSON_0000000852,PERSON_0000000878,PERSON_0000000076
TRACE_PERSON_0000000616,PERSON_0000000814,PERSON_0000000757
TRACE_PERSON_0000000694,PERSON_0000000800,PERSON_0000000962
TRACE_PERSON_0000000892,PERSON_0000000153,PERSON_0000000902
TRACE_PERSON_0000000646,PERSON_0000000828,PERSON_0000000481
TRACE_PERSON_0000000809,PERSON_0000000407,PERSON_0000000669
TRACE_PERSON_0000000182,PERSON_0000000198,PERSON_0000000919
TRACE_PERSON_0000000851,PERSON_0000000809,PERSON_0000000023
TRACE_PERSON_0000000851,PERSON_0000000570,PERSON_0000000777
TRACE_PERSON_0000000095,PERSON_0000000261,PERSON_0000000474
TRACE_PERSON_0000000949,PERSON_0000000550,PERSON_0000000636
TRACE_PERSON_0000000297,PERSON_0000000418,PERSON_0000000685
TRACE_PERSON_0000000175,PERSON_0000000124,PERSON_0000000155
TRACE_PERSON_0000000958,PERSON_0000000181,PERSON_0000000508
TRACE_PERSON_0000000095,PERSON_0000000419,PERSON_0000000195
TRACE_PERSON_0000000130,PERSON_0000000571,PERSON_0000000591
TRACE_PERSON_0000000086,PERSON_0000000607,PERSON_0000000626
TRACE_PERSON_0000000583,PERSON_0000000606,PERSON_0000000417
TRACE_PERSON_0000000095,PERSON_0000000684,PERSON_0000000486
TRACE_PERSON_0000000576,PERSON_0000000604,PERSON_0000000143
TRACE_PERSON_0000000616,PERSON_0000000670,PERSON_0000000127
TRACE_PERSON_0000000958,PERSON_0000000729,PERSON_0000000477
TRACE_PERSON_0000000379,PERSON_0000000067,PERSON_0000000456
TRACE_PERSON_0000000095,PERSON_0000000911,PERSON_0000000172
TRACE_PERSON_0000000958,PERSON_0000000489,PERSON_0000000991
TRACE_PERSON_0000000315,PERSON_0000000934,PERSON_0000000626
TRACE_PERSON_0000000843,PERSON_0000000149,PERSON_0000000176
TRACE_PERSON_0000000552,PERSON_0000000974,PERSON_0000000960
TRACE_PERSON_0000000361,PERSON_0000000304,PERSON_0000000444
TRACE_PERSON_0000000182,PERSON_0000000166,PERSON_0000000980
TRACE_PERSON_0000000820,PERSON_0000000049,PERSON_0000000406
TRACE_PERSON_0000000892,PERSON_0000000931,PERSON_0000000701
TRACE_PERSON_0000000552,PERSON_0000000223,PERSON_0000000689
TRACE_PERSON_0000000536,PERSON_0000000748,PERSON_0000000854
TRACE_PERSON_0000000144,PERSON_0000000424,PERSON_0000000395
TRACE_PERSON_0000000952,PERSON_0000000609,PERSON_0000000080
TRACE_PERSON_0000000557,PERSON_0000000171,PERSON_0000000772
TRACE_PERSON_0000000084,PERSON_0000000600,PERSON_0000000595
TRACE_PERSON_0000000147,PERSON_0000000541,PERSON_0000000277
TRACE_PERSON_0000000851,PERSON_0000000686,PERSON_0000000975
TRACE_PERSON_0000000536,PERSON_0000000623,PERSON_0000000621
